Date,Ticker,Open,High,Low,Close,Change
11/30/1957,CMSIGBW,78.194,78.194,78.194,78.194,-0.011113385
12/31/1957,CMSIGBW,77.325,77.325,77.325,77.325,-0.005496282
1/31/1958,CMSIGBW,76.9,76.9,76.9,76.9,-0.006827048
2/28/1958,CMSIGBW,76.375,76.375,76.375,76.375,0.000851064
3/31/1958,CMSIGBW,76.44,76.44,76.44,76.44,-0.004526426
4/30/1958,CMSIGBW,76.094,76.094,76.094,76.094,7.88E-05
5/31/1958,CMSIGBW,76.1,76.1,76.1,76.1,-0.010854139
6/30/1958,CMSIGBW,75.274,75.274,75.274,75.274,-0.003640035
7/31/1958,CMSIGBW,75,75,75,75,0
8/31/1958,CMSIGBW,75,75,75,75,0.011746667
9/30/1958,CMSIGBW,75.881,75.881,75.881,75.881,0.02778034
10/31/1958,CMSIGBW,77.989,77.989,77.989,77.989,-0.007308723
11/30/1958,CMSIGBW,77.419,77.419,77.419,77.419,-0.016171741
12/31/1958,CMSIGBW,76.167,76.167,76.167,76.167,0.001089711
1/31/1959,CMSIGBW,76.25,76.25,76.25,76.25,0.005980328
2/28/1959,CMSIGBW,76.706,76.706,76.706,76.706,0.033569734
3/31/1959,CMSIGBW,79.281,79.281,79.281,79.281,-0.001109976
4/30/1959,CMSIGBW,79.193,79.193,79.193,79.193,-0.001174346
5/31/1959,CMSIGBW,79.1,79.1,79.1,79.1,-0.009734513
6/30/1959,CMSIGBW,78.33,78.33,78.33,78.33,0.002170305
7/31/1959,CMSIGBW,78.5,78.5,78.5,78.5,0.004382166
8/31/1959,CMSIGBW,78.844,78.844,78.844,78.844,0.000684897
9/30/1959,CMSIGBW,78.898,78.898,78.898,78.898,0.013359021
10/31/1959,CMSIGBW,79.952,79.952,79.952,79.952,0.003727236
11/30/1959,CMSIGBW,80.25,80.25,80.25,80.25,0
12/31/1959,CMSIGBW,80.25,80.25,80.25,80.25,-0.003900312
1/31/1960,CMSIGBW,79.937,79.937,79.937,79.937,-0.005466805
2/29/1960,CMSIGBW,79.5,79.5,79.5,79.5,-0.003006289
3/31/1960,CMSIGBW,79.261,79.261,79.261,79.261,-0.002624241
4/30/1960,CMSIGBW,79.053,79.053,79.053,79.053,0.003643125
5/31/1960,CMSIGBW,79.341,79.341,79.341,79.341,-0.001146948
6/30/1960,CMSIGBW,79.25,79.25,79.25,79.25,0
7/31/1960,CMSIGBW,79.25,79.25,79.25,79.25,0
8/31/1960,CMSIGBW,79.25,79.25,79.25,79.25,0
9/30/1960,CMSIGBW,79.25,79.25,79.25,79.25,0.003003155
10/31/1960,CMSIGBW,79.488,79.488,79.488,79.488,-0.002994163
11/30/1960,CMSIGBW,79.25,79.25,79.25,79.25,0.002687697
12/31/1960,CMSIGBW,79.463,79.463,79.463,79.463,-0.000213936
1/31/1961,CMSIGBW,79.446,79.446,79.446,79.446,0.002253103
2/28/1961,CMSIGBW,79.625,79.625,79.625,79.625,0
3/31/1961,CMSIGBW,79.625,79.625,79.625,79.625,-0.000828885
4/30/1961,CMSIGBW,79.559,79.559,79.559,79.559,-0.002312749
5/31/1961,CMSIGBW,79.375,79.375,79.375,79.375,0
